Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,symmetric,0.472872225502026
75% Corpus,7,asymmetric,0.01,0.43964175273035666
75% Corpus,7,asymmetric,0.31,0.4614772318830043
75% Corpus,7,asymmetric,0.61,0.4982367360980961
75% Corpus,7,asymmetric,0.9099999999999999,0.5022602462483022
75% Corpus,7,asymmetric,symmetric,0.48679206084481474
75% Corpus,8,0.01,0.01,0.5216780142000166
75% Corpus,8,0.01,0.31,0.47770822875780405
75% Corpus,8,0.01,0.61,0.47619005963056216
75% Corpus,8,0.01,0.9099999999999999,0.489802476958625
75% Corpus,8,0.01,symmetric,0.4929329929914013
75% Corpus,8,0.31,0.01,0.5220716881713927
75% Corpus,8,0.31,0.31,0.5173334228353281
75% Corpus,8,0.31,0.61,0.48401747739379497
75% Corpus,8,0.31,0.9099999999999999,0.5059346642904203
75% Corpus,8,0.31,symmetric,0.5018884752509047
75% Corpus,8,0.61,0.01,0.5010502582034551
75% Corpus,8,0.61,0.31,0.4929833818258986
75% Corpus,8,0.61,0.61,0.477377476181938
75% Corpus,8,0.61,0.9099999999999999,0.49168929458600696
75% Corpus,8,0.61,symmetric,0.5249143319832532
75% Corpus,8,0.9099999999999999,0.01,0.4935310708479378
75% Corpus,8,0.9099999999999999,0.31,0.5217169454337743
75% Corpus,8,0.9099999999999999,0.61,0.4739492771018603
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.48709937296762307
75% Corpus,8,0.9099999999999999,symmetric,0.4778872163838067
75% Corpus,8,symmetric,0.01,0.5100332411051656
75% Corpus,8,symmetric,0.31,0.48342126367747473
75% Corpus,8,symmetric,0.61,0.47832033934732787
75% Corpus,8,symmetric,0.9099999999999999,0.4844847582089594
75% Corpus,8,symmetric,symmetric,0.5085130558801465
75% Corpus,8,asymmetric,0.01,0.5034923896964064
75% Corpus,8,asymmetric,0.31,0.5001978053279366
75% Corpus,8,asymmetric,0.61,0.47074324964441716
75% Corpus,8,asymmetric,0.9099999999999999,0.4755349835597805
75% Corpus,8,asymmetric,symmetric,0.5122490934675266
75% Corpus,9,0.01,0.01,0.4778295326714848
75% Corpus,9,0.01,0.31,0.4797171469665624
75% Corpus,9,0.01,0.61,0.4861217552503616
75% Corpus,9,0.01,0.9099999999999999,0.48151319192193465
75% Corpus,9,0.01,symmetric,0.49106043840786856
75% Corpus,9,0.31,0.01,0.4983584353276499
75% Corpus,9,0.31,0.31,0.48626894466953885
75% Corpus,9,0.31,0.61,0.4795313462032486
75% Corpus,9,0.31,0.9099999999999999,0.4899183617198299
75% Corpus,9,0.31,symmetric,0.5143796472007094
75% Corpus,9,0.61,0.01,0.4903401189026627
75% Corpus,9,0.61,0.31,0.48056238614938895
75% Corpus,9,0.61,0.61,0.4889840600771442
75% Corpus,9,0.61,0.9099999999999999,0.502097366126256
75% Corpus,9,0.61,symmetric,0.5084860934903567
75% Corpus,9,0.9099999999999999,0.01,0.5033728323464302
75% Corpus,9,0.9099999999999999,0.31,0.5110317194521905
75% Corpus,9,0.9099999999999999,0.61,0.47805230724686343
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.520754576321096
75% Corpus,9,0.9099999999999999,symmetric,0.5007863549367496
75% Corpus,9,symmetric,0.01,0.4830743280458802
75% Corpus,9,symmetric,0.31,0.49486961719694794
75% Corpus,9,symmetric,0.61,0.48399232491307587
75% Corpus,9,symmetric,0.9099999999999999,0.487165465869851
75% Corpus,9,symmetric,symmetric,0.49890886132998513
75% Corpus,9,asymmetric,0.01,0.49777377354898544
75% Corpus,9,asymmetric,0.31,0.4968990730309111
75% Corpus,9,asymmetric,0.61,0.5085304811695862
75% Corpus,9,asymmetric,0.9099999999999999,0.49648145704201063
75% Corpus,9,asymmetric,symmetric,0.5247266105661459
75% Corpus,10,0.01,0.01,0.5156213718392143
75% Corpus,10,0.01,0.31,0.5258056049256237
75% Corpus,10,0.01,0.61,0.5247060670617648
75% Corpus,10,0.01,0.9099999999999999,0.5307452347797568
75% Corpus,10,0.01,symmetric,0.5039865738794469
75% Corpus,10,0.31,0.01,0.5079274147754341
75% Corpus,10,0.31,0.31,0.5183557173511791
75% Corpus,10,0.31,0.61,0.48962685857491134
75% Corpus,10,0.31,0.9099999999999999,0.4576370795368213
75% Corpus,10,0.31,symmetric,0.5180874989094449
75% Corpus,10,0.61,0.01,0.5047608942564679
75% Corpus,10,0.61,0.31,0.4917492257730487
75% Corpus,10,0.61,0.61,0.4995421421576742
75% Corpus,10,0.61,0.9099999999999999,0.5210289366236228
75% Corpus,10,0.61,symmetric,0.5117040998072909
75% Corpus,10,0.9099999999999999,0.01,0.5091513263219074
75% Corpus,10,0.9099999999999999,0.31,0.4911984915673012
75% Corpus,10,0.9099999999999999,0.61,0.5020771801179837
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5053450689601655
75% Corpus,10,0.9099999999999999,symmetric,0.5138533111216103
75% Corpus,10,symmetric,0.01,0.5149415993562549
75% Corpus,10,symmetric,0.31,0.4940491452443415
75% Corpus,10,symmetric,0.61,0.5412170964571252
75% Corpus,10,symmetric,0.9099999999999999,0.5413864245403566
75% Corpus,10,symmetric,symmetric,0.5131845020558436
75% Corpus,10,asymmetric,0.01,0.510769382760135
75% Corpus,10,asymmetric,0.31,0.5084567502277614
75% Corpus,10,asymmetric,0.61,0.5075044153397392
75% Corpus,10,asymmetric,0.9099999999999999,0.5178089384484149
75% Corpus,10,asymmetric,symmetric,0.5066825411095082
100% Corpus,2,0.01,0.01,0.37932996433801325
100% Corpus,2,0.01,0.31,0.35154507131753887
100% Corpus,2,0.01,0.61,0.36530070528172875
100% Corpus,2,0.01,0.9099999999999999,0.3737905390101328
100% Corpus,2,0.01,symmetric,0.37152648229480956
100% Corpus,2,0.31,0.01,0.36530070528172875
100% Corpus,2,0.31,0.31,0.36530070528172875
100% Corpus,2,0.31,0.61,0.36530070528172875
100% Corpus,2,0.31,0.9099999999999999,0.36740277476613636
100% Corpus,2,0.31,symmetric,0.36530070528172875
100% Corpus,2,0.61,0.01,0.36530070528172875
100% Corpus,2,0.61,0.31,0.36530070528172875
100% Corpus,2,0.61,0.61,0.36740277476613636
100% Corpus,2,0.61,0.9099999999999999,0.36954213497608857
100% Corpus,2,0.61,symmetric,0.36530070528172875
100% Corpus,2,0.9099999999999999,0.01,0.37152648229480956
100% Corpus,2,0.9099999999999999,0.31,0.37152648229480956
100% Corpus,2,0.9099999999999999,0.61,0.36530070528172875
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.36954213497608857
100% Corpus,2,0.9099999999999999,symmetric,0.36530070528172875
100% Corpus,2,symmetric,0.01,0.36530070528172875
100% Corpus,2,symmetric,0.31,0.36530070528172875
100% Corpus,2,symmetric,0.61,0.36740277476613636
100% Corpus,2,symmetric,0.9099999999999999,0.36740277476613636
100% Corpus,2,symmetric,symmetric,0.36530070528172875
100% Corpus,2,asymmetric,0.01,0.37152648229480956
100% Corpus,2,asymmetric,0.31,0.36530070528172875
100% Corpus,2,asymmetric,0.61,0.37152648229480945
100% Corpus,2,asymmetric,0.9099999999999999,0.37152648229480945
100% Corpus,2,asymmetric,symmetric,0.37152648229480945
100% Corpus,3,0.01,0.01,0.4582548806388019
100% Corpus,3,0.01,0.31,0.46495908105168465
100% Corpus,3,0.01,0.61,0.46495908105168476
100% Corpus,3,0.01,0.9099999999999999,0.45873231066017733
100% Corpus,3,0.01,symmetric,0.467321941205074
100% Corpus,3,0.31,0.01,0.4665494308406634
100% Corpus,3,0.31,0.31,0.46495908105168465
100% Corpus,3,0.31,0.61,0.46495908105168476
100% Corpus,3,0.31,0.9099999999999999,0.46495908105168476
100% Corpus,3,0.31,symmetric,0.46495908105168465
100% Corpus,3,0.61,0.01,0.48261188251704085
100% Corpus,3,0.61,0.31,0.46495908105168465
100% Corpus,3,0.61,0.61,0.46495908105168465
100% Corpus,3,0.61,0.9099999999999999,0.46495908105168476
100% Corpus,3,0.61,symmetric,0.46495908105168465
100% Corpus,3,0.9099999999999999,0.01,0.4758786115569838
100% Corpus,3,0.9099999999999999,0.31,0.47832721670234
100% Corpus,3,0.9099999999999999,0.61,0.46495908105168465
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.46495908105168465
100% Corpus,3,0.9099999999999999,symmetric,0.47832721670234
100% Corpus,3,symmetric,0.01,0.46495908105168465
100% Corpus,3,symmetric,0.31,0.46495908105168465
100% Corpus,3,symmetric,0.61,0.46495908105168476
100% Corpus,3,symmetric,0.9099999999999999,0.46495908105168476
100% Corpus,3,symmetric,symmetric,0.46495908105168465
100% Corpus,3,asymmetric,0.01,0.47283019879740773
100% Corpus,3,asymmetric,0.31,0.46495908105168465
100% Corpus,3,asymmetric,0.61,0.4783272167023401
100% Corpus,3,asymmetric,0.9099999999999999,0.4698769629290911
100% Corpus,3,asymmetric,symmetric,0.4783272167023401
100% Corpus,4,0.01,0.01,0.5013164913896647
100% Corpus,4,0.01,0.31,0.4910909265329294
100% Corpus,4,0.01,0.61,0.49659938357105476
100% Corpus,4,0.01,0.9099999999999999,0.5026780783166476
100% Corpus,4,0.01,symmetric,0.49134682799349144
100% Corpus,4,0.31,0.01,0.5005411264464414
